hour,lat,lon,ReductionFraction
0,12.8235,77.4499,0.0406218
0,12.8235,77.4599,0.040622193
0,12.8235,77.46990000000001,0.040622715
0,12.8235,77.47990000000001,0.04062349
0,12.8235,77.48990000000002,0.04062469
0,12.8235,77.49990000000003,0.040626477
0,12.8235,77.50990000000003,0.04062884
0,12.8235,77.51990000000004,0.040631346
0,12.8235,77.52990000000004,0.04063318
0,12.8235,77.53990000000005,0.04063368
0,12.8235,77.54990000000005,0.040632904
0,12.8235,77.55990000000006,0.040631443
0,12.8235,77.56990000000006,0.040629905
0,12.8235,77.57990000000007,0.04062875
0,12.8235,77.58990000000007,0.040628366
0,12.8235,77.59990000000008,0.040629216
0,12.8235,77.60990000000008,0.040631965
0,12.8235,77.61990000000009,0.040637717
0,12.8235,77.62990000000009,0.040648267
0,12.8235,77.6399000000001,0.040666476
0,12.8235,77.6499000000001,0.040696472
0,12.8235,77.6599000000001,0.040743593
0,12.8235,77.66990000000011,0.04081454
0,12.8235,77.67990000000012,0.04091668
0,12.8235,77.68990000000012,0.040966373
0,12.8235,77.69990000000013,0.0408207
0,12.8235,77.70990000000013,0.040721856
0,12.8235,77.71990000000014,0.04067081
0,12.8235,77.72990000000014,0.040645286
0,12.8235,77.73990000000015,0.040632665
0,12.8235,77.74990000000015,0.040626463
0,12.8235,77.75990000000016,0.04062342
0,12.8235,77.76990000000016,0.040621933
0,12.8235,77.77990000000017,0.040621206
0,12.8235,77.78990000000017,0.04062085
0,12.833499999999999,77.4499,0.04062294
0,12.833499999999999,77.4599,0.040623628
0,12.833499999999999,77.46990000000001,0.040624473
0,12.833499999999999,77.47990000000001,0.04062571
0,12.833499999999999,77.48990000000002,0.040627744
0,12.833499999999999,77.49990000000003,0.040631097
0,12.833499999999999,77.50990000000003,0.040636055
0,12.833499999999999,77.51990000000004,0.04064189
0,12.833499999999999,77.52990000000004,0.040646307
0,12.833499999999999,77.53990000000005,0.04064721
0,12.833499999999999,77.54990000000005,0.040645033
0,12.833499999999999,77.55990000000006,0.040641557
0,12.833499999999999,77.56990000000006,0.040638085
0,12.833499999999999,77.57990000000007,0.040635355
0,12.833499999999999,77.58990000000007,0.040633947
0,12.833499999999999,77.59990000000008,0.040634505
0,12.833499999999999,77.60990000000008,0.040637963
0,12.833499999999999,77.61990000000009,0.040645804
0,12.833499999999999,77.62990000000009,0.040660515
0,12.833499999999999,77.6399000000001,0.040686022
0,12.833499999999999,77.6499000000001,0.04072767
0,12.833499999999999,77.6599000000001,0.040789798
0,12.833499999999999,77.66990000000011,0.040864907
0,12.833499999999999,77.67990000000012,0.04091083
0,12.833499999999999,77.68990000000012,0.040862676
0,12.833499999999999,77.69990000000013,0.04077778
0,12.833499999999999,77.70990000000013,0.040708106
0,12.833499999999999,77.71990000000014,0.040666167
0,12.833499999999999,77.72990000000014,0.040643632
0,12.833499999999999,77.73990000000015,0.040632058
0,12.833499999999999,77.74990000000015,0.040626235
0,12.833499999999999,77.75990000000016,0.040623337
0,12.833499999999999,77.76990000000016,0.040621907
0,12.833499999999999,77.77990000000017,0.0406212
0,12.833499999999999,77.78990000000017,0.040620852
0,12.843499999999999,77.4499,0.04062513
0,12.843499999999999,77.4599,0.040626355
0,12.843499999999999,77.46990000000001,0.04062766
0,12.843499999999999,77.47990000000001,0.040629424
0,12.843499999999999,77.48990000000002,0.04063249
0,12.843499999999999,77.49990000000003,0.04063817
0,12.843499999999999,77.50990000000003,0.04064792
0,12.843499999999999,77.51990000000004,0.04066146
0,12.843499999999999,77.52990000000004,0.040672682
0,12.843499999999999,77.53990000000005,0.040673822
0,12.843499999999999,77.54990000000005,0.040667854
0,12.843499999999999,77.55990000000006,0.040660165
