hour,lat,lon,PM25
0,12.8235,77.4499,12.6615715
0,12.8235,77.4599,12.6615715
0,12.8235,77.46990000000001,12.6615715
0,12.8235,77.47990000000001,12.6615715
0,12.8235,77.48990000000002,12.6615715
0,12.8235,77.49990000000003,12.6615715
0,12.8235,77.50990000000003,12.6615715
0,12.8235,77.51990000000004,12.6615715
0,12.8235,77.52990000000004,14.988
0,12.8235,77.53990000000005,14.988
0,12.8235,77.54990000000005,14.988
0,12.8235,77.55990000000006,14.988
0,12.8235,77.56990000000006,14.988
0,12.8235,77.57990000000007,14.988
0,12.8235,77.58990000000007,28.745625
0,12.8235,77.59990000000008,28.745625
0,12.8235,77.60990000000008,28.745625
0,12.8235,77.61990000000009,28.745625
0,12.8235,77.62990000000009,28.745625
0,12.8235,77.6399000000001,28.745625
0,12.8235,77.6499000000001,28.745625
0,12.8235,77.6599000000001,28.745625
0,12.8235,77.66990000000011,28.745625
0,12.8235,77.67990000000012,28.745625
0,12.8235,77.68990000000012,28.745625
0,12.8235,77.69990000000013,28.745625
0,12.8235,77.70990000000013,28.745625
0,12.8235,77.71990000000014,18.658
0,12.8235,77.72990000000014,18.658
0,12.8235,77.73990000000015,18.658
0,12.8235,77.74990000000015,18.658
0,12.8235,77.75990000000016,18.658
0,12.8235,77.76990000000016,18.658
0,12.8235,77.77990000000017,18.658
0,12.8235,77.78990000000017,18.658
0,12.833499999999999,77.4499,12.6615715
0,12.833499999999999,77.4599,12.6615715
0,12.833499999999999,77.46990000000001,12.6615715
0,12.833499999999999,77.47990000000001,12.6615715
0,12.833499999999999,77.48990000000002,12.6615715
0,12.833499999999999,77.49990000000003,12.6615715
0,12.833499999999999,77.50990000000003,12.6615715
0,12.833499999999999,77.51990000000004,12.6615715
0,12.833499999999999,77.52990000000004,14.988
0,12.833499999999999,77.53990000000005,14.988
0,12.833499999999999,77.54990000000005,14.988
0,12.833499999999999,77.55990000000006,14.988
0,12.833499999999999,77.56990000000006,14.988
0,12.833499999999999,77.57990000000007,14.988
0,12.833499999999999,77.58990000000007,14.988
0,12.833499999999999,77.59990000000008,28.745625
0,12.833499999999999,77.60990000000008,28.745625
0,12.833499999999999,77.61990000000009,28.745625
0,12.833499999999999,77.62990000000009,28.745625
0,12.833499999999999,77.6399000000001,28.745625
0,12.833499999999999,77.6499000000001,28.745625
0,12.833499999999999,77.6599000000001,28.745625
0,12.833499999999999,77.66990000000011,28.745625
0,12.833499999999999,77.67990000000012,28.745625
0,12.833499999999999,77.68990000000012,28.745625
0,12.833499999999999,77.69990000000013,28.745625
0,12.833499999999999,77.70990000000013,18.658
0,12.833499999999999,77.71990000000014,18.658
0,12.833499999999999,77.72990000000014,18.658
0,12.833499999999999,77.73990000000015,18.658
0,12.833499999999999,77.74990000000015,18.658
0,12.833499999999999,77.75990000000016,18.658
0,12.833499999999999,77.76990000000016,18.658
0,12.833499999999999,77.77990000000017,18.658
0,12.833499999999999,77.78990000000017,18.658
0,12.843499999999999,77.4499,12.6615715
0,12.843499999999999,77.4599,12.6615715
0,12.843499999999999,77.46990000000001,12.6615715
0,12.843499999999999,77.47990000000001,12.6615715
0,12.843499999999999,77.48990000000002,12.6615715
0,12.843499999999999,77.49990000000003,12.6615715
0,12.843499999999999,77.50990000000003,12.6615715
0,12.843499999999999,77.51990000000004,12.6615715
0,12.843499999999999,77.52990000000004,14.988
0,12.843499999999999,77.53990000000005,14.988
0,12.843499999999999,77.54990000000005,14.988
0,12.843499999999999,77.55990000000006,14.988
0,12.843499999999999,77.56990000000006,14.988
0,12.843499999999999,77.57990000000007,14.988
0,12.843499999999999,77.58990000000007,14.988
0,12.843499999999999,77.59990000000008,28.745625
0,12.843499999999999,77.60990000000008,28.745625
0,12.843499999999999,77.61990000000009,28.745625
0,12.843499999999999,77.62990000000009,28.745625
0,12.843499999999999,77.6399000000001,28.745625
0,12.843499999999999,77.6499000000001,28.745625
0,12.843499999999999,77.6599000000001,28.745625
0,12.843499999999999,77.66990000000011,28.745625
0,12.843499999999999,77.67990000000012,28.745625
0,12.843499999999999,77.68990000000012,28.745625
0,12.843499999999999,77.69990000000013,18.658
0,12.843499999999999,77.70990000000013,18.658
0,12.843499999999999,77.71990000000014,18.658
0,12.843499999999999,77.72990000000014,18.658
